# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 1478128950019
#
# Overhead  Command        Shared Object                   Symbol                                        
# ........  .............  ..............................  ..............................................
#
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732fd
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073596
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073334
     0.00%  my_executable  [kernel.vmlinux]                [k] ktime_get_update_offsets_now
     0.00%  my_executable  [kernel.vmlinux]                [k] update_curr_se
     0.00%  my_executable  [kernel.vmlinux]                [k] native_sched_clock
     0.00%  my_executable  [kernel.vmlinux]                [k] hrtimer_interrupt
     0.00%  my_executable  [kernel.vmlinux]                [k] arch_scale_freq_tick
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073f97
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d7e
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007376d
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007373c
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073f85
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073fad
     0.00%  my_executable  [kernel.vmlinux]                [k] sugov_update_single_freq
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007310f
     0.00%  my_executable  [kernel.vmlinux]                [k] ktime_get
     0.00%  my_executable  libgomp.so.1.0.0                [.] gomp_iter_ull_dynamic_next
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073768
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c99
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073730
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007333c
     0.00%  my_executable  [kernel.vmlinux]                [k] _raw_spin_lock
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007330b
     0.00%  my_executable  [kernel.vmlinux]                [k] update_process_times
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073fb2
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073772
     0.00%  my_executable  [kernel.vmlinux]                [k] read_tsc
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073de2
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000735a5
     0.00%  my_executable  [kernel.vmlinux]                [k] rcu_sched_clock_irq
     0.00%  my_executable  [kernel.vmlinux]                [k] __calc_delta.constprop.0
     0.00%  my_executable  [kernel.vmlinux]                [k] __hrtimer_run_queues
     0.00%  my_executable  [kernel.vmlinux]                [k] sync_regs
     0.00%  my_executable  [kernel.vmlinux]                [k] irqtime_account_irq
     0.00%  my_executable  [kernel.vmlinux]                [k] _compound_head
     0.00%  my_executable  [kernel.vmlinux]                [k] scheduler_tick
     0.00%  my_executable  [kernel.vmlinux]                [k] account_user_time
     0.00%  my_executable  [kernel.vmlinux]                [k] _raw_spin_lock_irqsave
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007332a
     0.00%  my_executable  [kernel.vmlinux]                [k] update_sd_lb_stats.constprop.0
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073dca
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007374e
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073b78
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007347c
     0.00%  my_executable  [kernel.vmlinux]                [k] reweight_entity
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073944
     0.00%  my_executable  [kernel.vmlinux]                [k] irq_enter_rcu
     0.00%  my_executable  [kernel.vmlinux]                [k] task_mm_cid_work
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073757
     0.00%  my_executable  [kernel.vmlinux]                [k] native_flush_tlb_local
     0.00%  my_executable  [kernel.vmlinux]                [k] tick_sched_do_timer
     0.00%  my_executable  [kernel.vmlinux]                [k] native_read_msr
     0.00%  my_executable  [kernel.vmlinux]                [k] __accumulate_pelt_segments
     0.00%  my_executable  [kernel.vmlinux]                [k] flush_tlb_func
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d50
     0.00%  my_executable  [kernel.vmlinux]                [k] __count_memcg_events
     0.00%  my_executable  [kernel.vmlinux]                [k] update_irq_load_avg
     0.00%  my_executable  [kernel.vmlinux]                [k] native_apic_msr_eoi
     0.00%  my_executable  [kernel.vmlinux]                [k] memset_orig
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d92
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073cdf
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d6d
     0.00%  my_executable  [kernel.vmlinux]                [k] update_min_vruntime
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c0d
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073592
     0.00%  my_executable  [kernel.vmlinux]                [k] smp_call_function_many_cond
     0.00%  my_executable  [kernel.vmlinux]                [k] clear_huge_page
     0.00%  my_executable  [kernel.vmlinux]                [k] x86_pmu_disable
     0.00%  my_executable  [kernel.vmlinux]                [k] sched_clock_cpu
     0.00%  my_executable  [kernel.vmlinux]                [k] tick_nohz_highres_handler
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000733a2
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073463
     0.00%  my_executable  [kernel.vmlinux]                [k] cpufreq_this_cpu_can_update
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073404
     0.00%  my_executable  [kernel.vmlinux]                [k] __cgroup_account_cputime_field
     0.00%  my_executable  [kernel.vmlinux]                [k] tick_program_event
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007359a
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000733ad
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073363
     0.00%  my_executable  [kernel.vmlinux]                [k] effective_cpu_util
     0.00%  my_executable  [kernel.vmlinux]                [k] mas_walk
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732b1
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073745
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c7f
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007313d
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073cd4
     0.00%  my_executable  [kernel.vmlinux]                [k] update_rq_clock
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073cba
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000733ef
     0.00%  my_executable  [kernel.vmlinux]                [k] __sysvec_apic_timer_interrupt
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732ed
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073564
     0.00%  my_executable  [kernel.vmlinux]                [k] handle_mm_fault
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073273
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007331e
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073b83
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000733d7
     0.00%  my_executable  [kernel.vmlinux]                [k] llist_add_batch
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007348f
     0.00%  my_executable  [kernel.vmlinux]                [k] nohz_balance_exit_idle
     0.00%  my_executable  [kernel.vmlinux]                [k] __mod_memcg_lruvec_state
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073416
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073425
     0.00%  my_executable  [kernel.vmlinux]                [k] _raw_spin_lock_irq
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000735da
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007316f
     0.00%  my_executable  [kernel.vmlinux]                [k] __handle_mm_fault
     0.00%  my_executable  [kernel.vmlinux]                [k] irqtime_account_process_tick
     0.00%  my_executable  [kernel.vmlinux]                [k] update_blocked_averages
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732cc
     0.00%  my_executable  [kernel.vmlinux]                [k] load_balance
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007332d
     0.00%  my_executable  [igb]                           [k] 0x0000000000001d9b
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000735f2
     0.00%  my_executable  [kernel.vmlinux]                [k] call_function_single_prep_ipi
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d7a
     0.00%  my_executable  [kernel.vmlinux]                [k] __flush_smp_call_function_queue
     0.00%  my_executable  [kernel.vmlinux]                [k] __hrtimer_next_event_base
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073b4d
     0.00%  my_executable  [kernel.vmlinux]                [k] _find_next_and_bit
